#  lambda      flux
#   [A]        [erg cm^-2 s^-1 A^-1]
 7056.4296     9.943043e-01
 7060.4738     9.725275e-01
 7064.5180     9.437960e-01
 7068.5622     9.749987e-01
 7072.6063     9.589545e-01
 7076.6505     9.391775e-01
 7080.6947     9.319256e-01
 7084.7389     9.189702e-01
 7088.7831     9.144340e-01
 7092.8272     9.236878e-01
 7096.8714     9.735959e-01
 7100.9156     9.504289e-01
 7104.9598     9.155208e-01
 7109.0040     9.238847e-01
 7113.0481     9.076108e-01
 7117.0923     9.138366e-01
 7121.1365     8.553938e-01
 7125.1807     7.948004e-01
 7129.2248     8.276047e-01
 7133.2690     7.490420e-01
 7137.3132     7.238291e-01
 7141.3574     6.945397e-01
 7145.4016     7.203959e-01
 7149.4457     7.032874e-01
 7153.4899     6.803786e-01
 7157.5341     7.161946e-01
 7161.5783     7.939110e-01
 7165.6224     8.316844e-01
 7169.6666     8.780985e-01
 7173.7108     8.737781e-01
 7177.7550     8.199700e-01
 7181.7992     7.735209e-01
 7185.8433     7.093549e-01
 7189.8875     8.621489e-01
 7193.9317     9.205461e-01
 7197.9759     8.826988e-01
 7202.0200     9.325044e-01
 7206.0642     8.993720e-01
 7210.1084     9.086825e-01
 7214.1526     9.179954e-01
 7218.1968     9.273113e-01
 7222.2409     9.366389e-01
